wkt_geom;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE
Point (14.19810000000000016 37.98429999999999751);37.9843;14.1981;302.6;1.2;1.1;2001-01-07;1024;Terra;MODIS;53;6.03;289.9;6.8;D;0
Point (13.48310000000000031 38.09960000000000235);38.0996;13.4831;301.1;1.1;1.1;2001-02-24;1023;Terra;MODIS;0;6.03;288;5.4;D;0
Point (14.17329999999999934 37.98790000000000333);37.9879;14.1733;301.4;1;1;2001-03-14;1010;Terra;MODIS;29;6.03;289.1;3.6;D;0
Point (14.85769999999999946 37.16159999999999997);37.1616;14.8577;310.4;1.2;1.1;2001-03-25;951;Terra;MODIS;24;6.03;299.8;4.6;D;0
Point (14.91389999999999993 37.68930000000000291);37.6893;14.9139;304.9;1.1;1.1;2001-04-06;1015;Terra;MODIS;56;6.03;291.5;3.8;D;1
Point (14.42880000000000074 37.40740000000000265);37.4074;14.4288;318;1.8;1.3;2001-04-11;1034;Terra;MODIS;78;6.03;289.2;35.7;D;0
Point (14.43290000000000006 37.40180000000000149);37.4018;14.4329;313.6;1.8;1.3;2001-04-11;1034;Terra;MODIS;73;6.03;289;25.5;D;0
Point (14.61159999999999926 36.83749999999999858);36.8375;14.6116;310.4;1.1;1;2001-04-17;957;Terra;MODIS;36;6.03;297;5.5;D;0
Point (15.27519999999999989 38.20100000000000051);38.201;15.2752;316.7;1;1;2001-05-01;1009;Terra;MODIS;46;6.03;302.8;7.5;D;2
Point (14.37809999999999988 37.07520000000000238);37.0752;14.3781;310.2;1.9;1.4;2001-05-14;938;Terra;MODIS;24;6.03;290.9;12.9;D;0
Point (15.27800000000000047 38.20139999999999958);38.2014;15.278;316.6;1;1;2001-05-17;1009;Terra;MODIS;32;6.03;300.4;4.7;D;2
Point (14.52669999999999995 37.34740000000000038);37.3474;14.5267;326.7;1.3;1.1;2001-05-28;950;Terra;MODIS;75;6.03;305.6;20.2;D;0
Point (14.54069999999999929 37.34590000000000032);37.3459;14.5407;330.7;1.3;1.1;2001-05-28;950;Terra;MODIS;80;6.03;307.1;27.1;D;0
Point (14.53480000000000061 37.34649999999999892);37.3465;14.5348;334.7;1.3;1.1;2001-05-28;950;Terra;MODIS;84;6.03;307.3;35.1;D;0
Point (14.38860000000000028 37.23029999999999973);37.2303;14.3886;344.5;1.9;1.3;2001-05-29;1033;Terra;MODIS;91;6.03;306.7;105.4;D;0
Point (14.38519999999999932 37.21860000000000213);37.2186;14.3852;319.4;1.9;1.3;2001-05-29;1033;Terra;MODIS;60;6.03;306.7;19.4;D;0
Point (14.38150000000000084 37.22509999999999764);37.2251;14.3815;338.3;1.9;1.3;2001-05-29;1033;Terra;MODIS;87;6.03;307.4;76.8;D;0
Point (14.40160000000000018 37.22109999999999985);37.2211;14.4016;326.1;1.9;1.3;2001-05-29;1033;Terra;MODIS;74;6.03;306.4;34.2;D;0
Point (12.86020000000000074 37.96909999999999741);37.9691;12.8602;324.3;1.1;1;2001-05-31;1021;Terra;MODIS;66;6.03;307.8;11.6;D;0
Point (12.87240000000000073 37.96710000000000207);37.9671;12.8724;341.5;1.1;1;2001-05-31;1021;Terra;MODIS;89;6.03;308.1;38.5;D;0
Point (14.18050000000000033 37.36299999999999955);37.363;14.1805;332.7;1.2;1.1;2001-05-31;1021;Terra;MODIS;80;6.03;311.6;23;D;0
Point (13.72710000000000008 37.21640000000000015);37.2164;13.7271;321.3;1.2;1.1;2001-05-31;1021;Terra;MODIS;57;6.03;308;9.1;D;0
Point (14.47819999999999929 36.98930000000000007);36.9893;14.4782;327;1.3;1.1;2001-05-31;1021;Terra;MODIS;71;6.03;309.6;13;D;0
Point (14.49210000000000065 36.98680000000000234);36.9868;14.4921;333.1;1.3;1.1;2001-05-31;1021;Terra;MODIS;80;6.03;309.9;24.4;D;0
Point (14.47550000000000026 36.97939999999999827);36.9794;14.4755;352.5;1.3;1.1;2001-05-31;1021;Terra;MODIS;95;6.03;310.6;74.2;D;0
Point (14.48939999999999984 36.97679999999999723);36.9768;14.4894;353.3;1.3;1.1;2001-05-31;1021;Terra;MODIS;96;6.03;309.8;77;D;0
Point (14.34500000000000064 37.1548000000000016);37.1548;14.345;323.7;1;1;2001-06-02;1008;Terra;MODIS;64;6.03;307.8;6.7;D;0
Point (14.60060000000000002 37.30060000000000286);37.3006;14.6006;323.4;1;1;2001-06-02;1008;Terra;MODIS;62;6.03;308.8;7.2;D;0
Point (14.61190000000000033 37.29879999999999995);37.2988;14.6119;322.6;1;1;2001-06-02;1008;Terra;MODIS;59;6.03;308.1;6.4;D;0
Point (15.10849999999999937 37.6828000000000003);37.6828;15.1085;321.8;1.1;1;2001-06-04;956;Terra;MODIS;38;6.03;307.8;7.3;D;2
Point (14.70219999999999949 37.56139999999999901);37.5614;14.7022;337.7;1.1;1;2001-06-04;956;Terra;MODIS;86;6.03;312.7;28.5;D;0
Point (14.36139999999999972 37.01619999999999777);37.0162;14.3614;315.9;2.3;1.5;2001-06-05;1039;Terra;MODIS;61;6.03;302;15.3;D;0
Point (15.29219999999999935 37.875);37.875;15.2922;324.4;1.4;1.2;2001-06-06;944;Terra;MODIS;0;6.03;303.4;20.8;D;2
Point (13.89639999999999986 37.1728999999999985);37.1729;13.8964;338.2;1.4;1.2;2001-06-07;1027;Terra;MODIS;86;6.03;307;50;D;0
Point (13.91269999999999918 37.16980000000000217);37.1698;13.9127;326.6;1.4;1.2;2001-06-07;1027;Terra;MODIS;71;6.03;305.5;23.2;D;0
Point (13.1144999999999996 38.10799999999999699);38.108;13.1145;324;1;1;2001-06-09;1014;Terra;MODIS;73;6.03;308.8;10;D;0
Point (13.12570000000000014 38.10620000000000118);38.1062;13.1257;330.1;1;1;2001-06-09;1014;Terra;MODIS;80;6.03;308.9;17.4;D;0
Point (12.98889999999999922 37.95550000000000068);37.9555;12.9889;312.3;3.5;1.8;2001-06-10;1057;Terra;MODIS;54;6.03;295.7;22.7;D;0
Point (13.07360000000000078 37.85969999999999658);37.8597;13.0736;323.4;1.1;1;2001-06-11;1002;Terra;MODIS;58;6.03;307.9;7;D;0
Point (14.95350000000000001 37.5876000000000019);37.5876;14.9535;329.3;1;1;2001-06-11;1002;Terra;MODIS;73;6.03;314.5;10.2;D;0
Point (14.79010000000000069 37.55539999999999878);37.5554;14.7901;335.7;1;1;2001-06-11;1002;Terra;MODIS;81;6.03;317;17;D;0
Point (13.2264999999999997 37.99819999999999709);37.9982;13.2265;316.6;1.5;1.2;2001-06-14;1032;Terra;MODIS;51;6.03;299.3;15.9;D;0
Point (12.77330000000000076 37.83440000000000225);37.8344;12.7733;328.5;1;1;2001-07-04;1007;Terra;MODIS;71;6.03;308.2;13.4;D;0
